"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"08/29/2020","36","26","12"
"08/30/2020","17","11","7"
"08/31/2020","57","32","29"
"09/01/2020","76","38","43"
"09/02/2020","69","42","32"
"09/03/2020","93","56","60"
"09/04/2020","123","51","81"
"09/05/2020","137","84","104"
"09/06/2020","88","53","45"
"09/07/2020","136","78","90"
"09/08/2020","236","175","184"
"09/09/2020","182","96","106"
"09/10/2020","340","234","228"
"09/11/2020","791","589","614"
"09/12/2020","3887","2856","3409"
"09/13/2020","6182","5004","4434"
"09/14/2020","10346","8335","7818"
"09/15/2020","9114","7580","4100"
"09/16/2020","6176","5284","2353"
"09/17/2020","4261","3630","1533"
"09/18/2020","3983","3356","1602"
"09/19/2020","3892","3157","1768"
"09/20/2020","3712","2980","1732"
"09/21/2020","3794","3256","1514"
"09/22/2020","4509","3941","2505"
"09/23/2020","4751","4166","2453"
"09/24/2020","7002","6088","3812"
"09/25/2020","6312","5540","3340"
"09/26/2020","5423","4679","2502"
"09/27/2020","6308","5452","2964"
"09/28/2020","9514","8010","5296"
"09/29/2020","14304","12399","9360"
"09/30/2020","11995","10736","7487"
"10/01/2020","10509","9172","6198"
"10/02/2020","12271","10972","7974"
"10/03/2020","11384","10293","6527"
"10/04/2020","12168","10532","7435"
"10/05/2020","12592","11127","7187"
"10/06/2020","16033","14612","9511"
"10/07/2020","23670","21586","16872"
"10/08/2020","35376","30811","25667"
"10/09/2020","25210","22665","12446"
"10/10/2020","17911","15929","6740"
"10/11/2020","19486","14775","9577"
"10/12/2020","18964","16834","7518"
"10/13/2020","16467","14727","6553"
"10/14/2020","24330","14785","13746"
"10/15/2020","79186","27823","65217"
"10/16/2020","23680","21282","6269"
"10/17/2020","37134","34803","11879"
"10/18/2020","27445","25454","10278"
"10/19/2020","35184","32001","17824"
"10/20/2020","41790","39486","10938"
"10/21/2020","21858","19909","6736"
"10/22/2020","23534","21636","9925"
"10/23/2020","21311","19439","6777"
"10/24/2020","20363","18136","7252"
"10/25/2020","18876","15622","6985"
"10/26/2020","19473","16321","7169"
"10/27/2020","19561","17677","6182"
"10/28/2020","17669","15879","6098"
"10/29/2020","16082","14321","5412"
"10/30/2020","17156","15421","5500"
"10/31/2020","20613","18990","9739"
"11/01/2020","13331","11793","3754"
"11/02/2020","13848","12154","4050"
"11/03/2020","16978","15227","5204"
"11/04/2020","14265","12352","4592"
"11/05/2020","17792","15848","7255"
"11/06/2020","14150","12052","5245"
"11/07/2020","14583","12827","4705"
"11/08/2020","13523","11916","3739"
"11/09/2020","19118","17444","8257"
"11/10/2020","13924","12177","4107"
"11/11/2020","16678","14729","5304"
